id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;length;divisions;subrhythm
1550;line;-;UP;Lee Konitz;-;-;-;-;-;-;46;25;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,1,2,2,4,6,2,2;01,11,11,11,11,11,11,01,01,11,11,11,11,11,11,110,1100,01,1,11,11,1101,010001,11,11
1551;lick;-;MEDIUM;Freddie Hubbard;-;-;-;-;-;-;40;21;1,4,2,4,4,4,1,6,2,1,4,1,2,3,3,4,3,4,2,4,4;1,0110,01,1001,0011,1111,1,000011,11,1,0001,1,11,111,111,0001,111,1111,11,0001,0001
1552;line;-;UP;Wayne Shorter;-;-;-;-;-;-;7;5;2,2,2,2,1;11,01,11,01,1
1553;line;-;MEDIUM UP;Charlie Parker;-;-;-;-;-;-;39;17;4,2,6,6,6,1,4,1,2,2,4,2,4,2,2,2,2;1101,11,101111,101111,000001,1,1001,1,11,01,1111,11,1100,11,11,11,11
1554;lick;-;UP;Gerry Mulligan;-;-;-;-;-;-;6;6;1,1,2,4,1,1;1,1,01,0001,1,1
1555;lick;-;MEDIUM;Kenny Dorham;-;-;-;-;-;-;10;6;1,4,2,2,2,2;1,0110,01,11,11,11
1556;lick;-;MEDIUM UP;Clifford Brown;-;-;-;-;-;-;8;5;4,4,4,4,2;0110,1001,0001,0001,11
1557;lick;-;UP;Joe Lovano;-;-;-;-;-;-;12;7;1,2,2,2,1,2,3;1,11,11,11,1,11,011
1558;lick;-;UP;Kai Winding;-;-;-;-;-;-;6;5;2,1,1,4,1;11,1,1,0001,1
1559;line;-;UP;John Coltrane;-;-;-;-;-;-;32;14;4,3,1,2,3,2,2,1,2,4,2,3,4,3;1111,011,1,11,111,11,11,1,11,1011,01,111,1011,111
1560;line;-;UP;Joshua Redman;-;-;-;-;-;-;32;14;4,4,2,3,3,2,2,2,2,2,2,2,3,4;1011,1001,11,111,011,11,11,11,11,11,11,11,111,0111
1561;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;3;2;2,4;01,1100
1562;lick;-;MEDIUM UP;Sonny Rollins;-;-;-;-;-;-;6;5;2,2,1,1,1;11,01,1,1,1
1563;line;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;13;6;2,4,6,2,2,2;11,0001,111100,11,11,11
1564;lick;-;MEDIUM UP;Milt Jackson;-;-;-;-;-;-;36;18;2,2,2,2,1,2,2,3,2,2,3,1,2,2,2,2,2,2;11,11,11,11,1,11,11,111,11,11,111,1,11,11,11,11,11,11
1565;lick;-;UP;Lee Konitz;-;-;-;-;-;-;20;11;4,2,2,2,2,2,2,4,1,2,1;1100,11,11,11,01,11,11,1011,1,11,1
1566;lick;-;UP;Dexter Gordon;-;-;-;-;-;-;8;4;2,4,2,4;11,1011,11,0001
1567;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;12;7;4,2,2,2,6,1,2;1001,01,01,11,010111,1,01
1568;lick;-;MEDIUM;Wayne Shorter;-;-;-;-;-;-;22;10;6,4,2,1,3,2,3,2,3,3;000001,1011,11,1,111,11,110,11,111,111
1569;lick;-;MEDIUM;Bob Berg;-;-;-;-;-;-;33;14;2,4,1,1,4,4,2,4,2,4,4,5,2,5;11,1110,1,1,0011,0111,11,1100,01,1110,0111,01111,11,01111
1570;lick;-;UP;Joe Henderson;-;-;-;-;-;-;2;1;2;11
1571;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;57;40;2,4,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,4,2,1,1,2,2,1,1,2,2,2,3,2,1,1,1,1,1,2,2,2,2,2;01,1001,01,11,11,11,1,11,11,1,1,01,1,1,1,1,01,1001,01,1,1,11,11,1,1,11,11,01,011,11,1,1,1,1,1,11,11,11,01,11
1572;lick;-;UP;Stan Getz;-;-;-;-;-;-;9;6;2,1,1,1,2,2;11,1,1,1,11,11
1573;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;7;5;2,4,2,2,1;11,0001,11,01,1
1574;line;-;UP;Michael Brecker;-;-;-;-;-;-;25;13;2,1,1,4,6,4,1,2,2,2,2,2,2;11,1,1,0001,010011,1111,1,11,11,11,11,11,11
1575;line;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;24;7;4,4,3,4,3,4,5;1110,0111,111,1111,011,1111,11111
1576;lick;-;UP;Steve Coleman;-;-;-;-;-;-;18;10;4,2,4,2,2,2,2,1,2,2;1101,01,1011,01,11,11,01,1,11,11
1577;line;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;10;4;4,2,2,2;1111,11,11,11
1578;line;-;MEDIUM;Charlie Parker;-;-;-;-;-;-;19;8;5,2,2,2,2,2,4,2;01111,01,11,11,11,11,1111,11
1579;line;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;16;7;4,4,4,4,4,3,3;1001,1101,0001,0001,1111,111,011
1580;lick;-;UP;Wayne Shorter;-;-;-;-;-;-;4;2;2,2;11,11
1581;lick;-;UP;J.J. Johnson;-;-;-;-;-;-;18;13;2,1,2,2,3,2,1,2,1,1,1,3,2;01,1,01,11,011,11,1,01,1,1,1,111,01
1582;lick;-;MEDIUM;Cannonball Adderley;-;-;-;-;-;-;19;8;4,1,1,2,6,2,3,3;1001,1,1,11,111110,11,111,111
1583;lick;-;UP;Dizzy Gillespie;-;-;-;-;-;-;21;12;2,2,2,2,2,4,3,1,2,1,1,1;11,11,11,01,01,1111,111,1,11,1,1,1
1584;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;5;4;2,1,4,2;01,1,0011,01
1585;line;-;UP;Joe Lovano;-;-;-;-;-;-;26;12;2,2,2,4,2,1,1,3,4,4,4,3;11,01,01,0111,11,1,1,111,1101,1110,1111,011
1586;lick;-;UP;Herbie Hancock;-;-;-;-;-;-;25;18;2,1,2,2,1,4,1,2,2,2,1,2,1,2,2,1,2,2;11,1,11,11,1,1101,1,01,11,01,1,11,1,01,01,1,01,01
1587;line;-;UP;John Coltrane;-;-;-;-;-;-;41;19;2,3,3,2,2,3,2,2,3,6,6,3,4,2,2,2,2,2,1;11,011,011,01,01,111,11,11,011,111011,101011,111,0011,11,11,11,01,11,1
1588;line;-;UP;Sonny Rollins;-;-;-;-;-;-;13;8;2,2,2,2,1,2,2,2;11,11,01,11,1,01,11,11
1589;line;-;MEDIUM UP;Freddie Hubbard;-;-;-;-;-;-;30;14;4,4,3,2,2,2,2,2,2,2,2,2,2,5;0011,1110,011,01,11,11,11,11,11,11,11,11,11,01111
1590;line;-;UP;David Liebman;-;-;-;-;-;-;55;31;2,4,2,2,4,2,2,2,1,2,2,1,1,4,1,2,2,4,4,3,2,2,2,1,2,2,2,1,2,1,2;01,1011,11,11,1100,11,11,11,1,11,11,1,1,1001,1,11,01,1111,0011,011,01,11,11,1,11,11,11,1,11,1,11
1591;line;-;UP;Miles Davis;-;-;-;-;-;-;29;16;2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1;01,11,11,11,11,11,11,01,11,11,11,11,11,11,11,1
1592;line;-;UP;Paul Desmond;-;-;-;-;-;-;8;6;1,1,2,2,2,2;1,1,11,01,01,11
1593;lick;-;UP;Stan Getz;-;-;-;-;-;-;30;17;2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2;11,11,01,01,01,11,11,01,11,0001,1011,1001,11,11,11,11,11
1594;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;5;1,4,2,1,2;1,0011,11,1,11
1595;line;-;UP;Miles Davis;-;-;-;-;-;-;22;12;4,3,2,2,2,1,1,2,2,2,2,1;1011,011,11,11,11,1,1,11,11,11,11,1
1596;lick;-;MEDIUM UP;Woody Shaw;-;-;-;-;-;-;33;15;2,3,4,2,2,2,4,3,2,2,4,4,4,4,6;01,011,1101,01,01,11,0001,111,11,11,1100,1111,0011,1111,000111
1597;lick;-;MEDIUM UP;Hank Mobley;-;-;-;-;-;-;12;5;2,4,3,3,4;11,1001,111,111,1001
1598;line;-;UP;Wayne Shorter;-;-;-;-;-;-;24;14;2,2,2,2,2,2,4,2,1,1,2,2,2,3;01,11,11,11,11,01,1011,01,1,1,11,11,11,110
1599;line;-;MEDIUM;Milt Jackson;-;-;-;-;-;-;21;9;1,1,2,2,3,2,4,4,4;1,1,11,11,111,11,1101,1111,1011
1600;lick;-;MEDIUM;Miles Davis;-;-;-;-;-;-;7;4;1,2,4,2;1,11,0111,01
1601;lick;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;23;13;4,3,2,1,4,1,2,2,1,2,4,2,2;1101,011,11,1,0011,1,11,01,1,01,0111,11,11
1602;lick;-;UP;Woody Shaw;-;-;-;-;-;-;11;7;2,2,1,1,2,2,1;11,11,1,1,11,11,1
1603;line;-;MEDIUM;Bob Berg;-;-;-;-;-;-;42;12;4,3,5,6,6,4,4,4,4,5,6,4;1110,111,01111,110111,010001,1111,1110,1111,0111,00111,010111,1111
1604;lick;-;UP;John Coltrane;-;-;-;-;-;-;25;15;1,1,4,2,2,2,4,2,1,2,2,2,6,2,3;1,1,1110,11,01,11,1001,01,1,11,11,11,000001,11,110
1605;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;16;7;4,3,3,1,6,8,4;0110,110,011,1,010101,00110001,0111
1606;line;-;MEDIUM;J.J. Johnson;-;-;-;-;-;-;38;13;4,4,2,4,4,4,5,6,4,1,1,3,3;1110,1011,11,1111,1011,1011,01111,111011,0111,1,1,111,111
1607;lick;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;32;11;3,4,4,3,4,6,2,2,4,5,6;111,0111,0110,111,1111,111100,11,01,0110,01111,110101
1608;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;12;6;1,1,2,1,3,5;1,1,01,1,111,11111
1609;line;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;30;9;4,4,5,5,4,5,1,1,6;1111,1111,11111,11111,1100,11101,1,0,111101
1610;line;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;10;3;4,4,4;0011,1111,1111
1611;lick;-;MEDIUM;Pepper Adams;-;-;-;-;-;-;9;3;4,4,6;1100,1111,010101
1612;lick;-;UP;Woody Shaw;-;-;-;-;-;-;20;11;4,3,2,1,2,2,2,3,4,3,2;1101,011,11,1,11,01,01,011,0011,011,11
1613;line;-;UP;John Coltrane;-;-;-;-;-;-;6;3;1,4,2;1,0111,11
1614;line;-;UP;John Coltrane;-;-;-;-;-;-;39;22;3,2,1,2,2,2,2,3,4,4,3,3,2,2,2,1,2,2,2,4,2,2;011,11,1,11,11,11,11,111,0001,1011,110,011,11,11,01,1,01,11,11,0001,01,11
1615;lick;-;UP;John Coltrane;-;-;-;-;-;-;9;4;4,2,2,2;1011,11,11,11
1616;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;11;9;1,1,2,2,2,1,2,1,4;1,1,11,11,01,1,01,1,0001
1617;lick;-;UP;John Coltrane;-;-;-;-;-;-;15;8;6,1,4,2,2,4,6,4;010011,1,1110,11,01,1101,000001,0001
1618;lick;-;UP;Wynton Marsalis;-;-;-;-;-;-;52;35;1,3,1,5,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,4,4,2,2,2,1,1,1,4,1,2,2,1,1;1,110,1,01111,1,1,1,11,11,1,11,11,11,1,01,1,11,1,11,11,1,1001,0001,11,11,11,1,1,1,1100,1,01,01,1,1
1619;lick;-;UP;Miles Davis;-;-;-;-;-;-;4;3;1,1,2;1,1,11
1620;lick;-;UP;Miles Davis;-;-;-;-;-;-;6;4;2,2,1,1;11,11,1,1
1621;lick;-;MEDIUM UP;Kenny Dorham;-;-;-;-;-;-;13;8;4,2,2,1,2,2,2,2;1001,01,11,1,01,11,11,11
1622;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;12;8;4,3,2,2,1,4,2,2;1100,110,01,11,1,0001,01,11
1623;line;-;MEDIUM SLOW;Joe Lovano;-;-;-;-;-;-;31;9;7,5,6,6,2,2,2,6,6;0111111,01111,011100,001011,01,11,11,111101,111101
1624;line;-;MEDIUM;Charlie Parker;-;-;-;-;-;-;25;8;6,3,6,4,2,2,4,6;110111,111,010111,0001,11,11,1111,010111
1625;line;-;UP;Stan Getz;-;-;-;-;-;-;43;26;2,2,2,2,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2;11,11,11,01,1,111,11,11,11,11,1,01,01,01,01,01,01,11,11,11,11,111,11,01,1,11
1626;line;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;13;5;6,4,6,4,2;000111,1111,010001,0011,11
1627;line;-;UP;Chris Potter;-;-;-;-;-;-;24;12;2,2,2,2,2,3,3,2,2,2,2,2;11,11,11,11,11,011,110,11,11,11,11,11
1628;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;3;1,1,4;1,1,1011
1629;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;5;2,1,2,2,2;01,1,11,11,11
1630;lick;-;UP;Michael Brecker;-;-;-;-;-;-;58;30;2,2,2,2,3,4,4,2,2,3,2,2,1,2,6,4,2,1,4,5,2,1,3,4,2,2,2,2,2,3;01,11,01,01,011,1011,1001,01,11,011,11,11,1,11,111101,0001,11,1,0011,11111,11,1,111,0001,01,11,11,11,11,011
1631;lick;-;UP;Don Ellis;-;-;-;-;-;-;28;16;3,3,4,1,1,4,2,3,3,2,4,4,1,4,4,2;110,011,0011,1,1,1001,11,110,110,11,1100,1001,1,1001,0001,11
1632;line;-;UP;Fats Navarro;-;-;-;-;-;-;26;11;6,2,2,2,2,2,2,3,4,3,2;101111,11,11,11,11,11,11,011,1101,011,11
1633;lick;-;UP;Wynton Marsalis;-;-;-;-;-;-;20;15;2,1,2,2,1,2,1,1,1,1,2,1,3,1,2;01,1,01,11,1,11,1,1,1,1,11,1,011,1,11
1634;line;-;UP;Phil Woods;-;-;-;-;-;-;72;37;2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,2,2,2,2,4,2,4,2,2,1,6,2,2,2,2,2,2,2,2,2,2,2;11,11,11,11,11,11,11,11,11,1001,11,11,0001,11,11,11,11,11,11,0001,11,1101,11,11,1,010001,11,11,11,11,11,11,11,11,11,11,11
1635;line;-;UP;Stan Getz;-;-;-;-;-;-;40;21;2,2,2,2,2,2,4,2,2,2,4,3,2,2,2,2,2,2,2,2,2;01,11,11,11,11,11,1011,11,11,01,1110,111,11,11,11,01,11,01,01,11,11
1636;line;-;UP;Joe Lovano;-;-;-;-;-;-;36;17;2,2,2,2,2,2,4,1,4,4,2,2,4,2,4,4,3;01,11,11,11,11,11,1101,1,1001,1111,11,01,1001,11,1001,1110,111
1637;line;-;MEDIUM;Woody Shaw;-;-;-;-;-;-;9;4;6,2,1,1;111101,11,1,1
1638;lick;-;MEDIUM;Michael Brecker;-;-;-;-;-;-;17;11;1,2,4,4,4,3,2,1,2,2,2;1,11,0001,0001,0111,011,11,1,01,01,11
1639;line;-;MEDIUM;Paul Desmond;-;-;-;-;-;-;14;4;5,4,4,6;01111,1111,0011,011011
1640;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;8;7;2,1,1,1,1,2,4;01,1,1,1,1,01,1100
1641;line;-;UP;John Coltrane;-;-;-;-;-;-;39;17;4,3,3,3,2,2,3,3,2,2,2,4,4,4,3,3,3;0111,111,110,111,11,11,111,110,11,11,01,1011,0001,1100,111,110,111
1642;lick;-;UP;David Liebman;-;-;-;-;-;-;39;26;1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,3,2,1,2,1,2,4;1,1,11,01,11,1,01,11,11,1,1,1,1,11,11,1,1,1,1,111,11,1,11,1,11,1101
1643;lick;-;MEDIUM UP;Cannonball Adderley;-;-;-;-;-;-;11;5;2,3,1,4,2;11,111,1,0111,11
1644;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;7;4;2,4,2,1;11,1001,11,1
1645;line;-;UP;Michael Brecker;-;-;-;-;-;-;60;27;1,2,2,4,2,3,3,4,4,3,4,4,4,3,2,2,2,2,2,6,6,3,2,2,2,3,2;1,11,11,0111,01,111,111,1111,1111,011,1011,1001,1011,111,11,11,01,11,11,010001,001001,111,01,11,11,011,01
1646;lick;-;MEDIUM UP;Art Pepper;-;-;-;-;-;-;5;3;2,1,6;01,1,010011
1647;line;-;UP;Stan Getz;-;-;-;-;-;-;26;15;3,2,2,2,2,2,2,2,2,2,2,2,2,2,2;111,11,01,11,11,01,01,01,11,11,11,11,11,01,11
1648;lick;-;UP;Pat Metheny;-;-;-;-;-;-;16;10;4,2,2,2,1,2,3,3,2,2;1001,01,01,11,1,11,111,011,01,01
1649;lick;-;MEDIUM UP;John Coltrane;-;-;-;-;-;-;24;9;4,2,3,2,2,1,6,8,4;0111,01,111,01,11,1,111111,11011101,0001
1650;lick;-;MEDIUM;Curtis Fuller;-;-;-;-;-;-;8;6;1,1,4,1,2,4;1,1,1001,1,11,0001
1651;line;-;UP;Michael Brecker;-;-;-;-;-;-;21;9;6,6,6,4,4,2,4,2,1;001011,001001,010001,1101,1011,11,1011,11,1
1652;line;-;MEDIUM;Clifford Brown;-;-;-;-;-;-;63;24;1,6,4,4,6,4,4,4,2,2,3,2,2,2,6,4,2,2,4,4,4,4,2,2;1,011011,1111,1111,000111,0111,0011,1111,01,11,111,11,01,11,101011,1110,11,11,1101,1111,1101,0011,11,11
1653;lick;-;MEDIUM;Hank Mobley;-;-;-;-;-;-;5;3;2,2,6;01,11,010001
1654;line;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;17;5;4,4,10,2,5;0011,1111,1000010011,11,11111
1655;lick;-;UP;Hank Mobley;-;-;-;-;-;-;21;14;2,2,1,2,4,2,1,4,2,2,2,2,3,2;01,11,1,11,1001,01,1,0011,11,01,11,01,011,01
1656;lick;-;UP;John Coltrane;-;-;-;-;-;-;9;6;3,1,4,1,2,2;011,1,0001,1,11,11
1657;line;-;UP;Phil Woods;-;-;-;-;-;-;56;26;4,3,2,2,2,2,2,5,2,2,4,4,3,2,2,2,4,3,1,4,2,4,2,2,2,2;1011,111,11,11,11,11,11,10111,11,11,1001,0001,011,11,11,11,1011,111,1,0001,11,1011,11,11,11,11
1658;line;-;UP;Michael Brecker;-;-;-;-;-;-;69;29;2,2,2,2,2,2,2,2,3,4,4,2,2,2,4,4,3,6,4,4,6,4,4,4,2,2,2,2,3;11,11,01,11,01,11,11,11,111,0111,1001,11,01,11,1111,1001,011,010101,1011,0111,111110,1111,1001,1111,11,11,11,11,011
1659;lick;-;UP;Stan Getz;-;-;-;-;-;-;15;8;2,2,3,2,4,2,2,2;11,01,011,11,1001,11,11,11
1660;lick;-;UP;Kenny Dorham;-;-;-;-;-;-;4;3;2,1,1;11,1,1
1661;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;10;8;1,1,2,1,2,2,2,1;1,1,01,1,11,01,11,1
1662;line;-;UP;John Coltrane;-;-;-;-;-;-;57;28;3,2,2,1,4,2,2,2,2,2,3,6,4,6,2,2,2,4,2,2,4,4,2,2,2,2,2,2;011,11,11,1,1011,11,11,11,11,01,110,001011,1011,101011,11,11,11,0001,11,11,0001,1001,11,11,11,11,11,11
1663;lick;-;UP;David Liebman;-;-;-;-;-;-;65;37;2,2,1,1,4,2,2,2,2,4,1,4,2,1,3,3,6,1,2,2,2,1,2,2,2,2,4,2,2,1,1,2,2,2,1,2,3;11,11,1,1,1100,11,11,01,11,1100,1,1011,11,1,111,011,111101,1,11,01,01,1,11,11,11,01,1011,11,01,1,1,01,11,11,1,11,110
1664;line;-;UP;Miles Davis;-;-;-;-;-;-;19;12;2,2,2,2,2,1,1,2,1,4,3,2;01,11,01,11,11,1,1,11,1,0110,011,11
1665;lick;-;MEDIUM UP;David Liebman;-;-;-;-;-;-;3;2;2,4;01,0011
1666;lick;-;UP;David Liebman;-;-;-;-;-;-;6;6;1,1,1,1,2,2;1,1,1,1,01,01
1667;line;-;UP;Woody Shaw;-;-;-;-;-;-;43;24;2,4,1,2,2,2,2,2,2,4,1,2,2,2,2,2,1,2,3,2,2,4,2,2;01,1111,1,11,01,11,01,11,11,0001,1,11,01,11,11,11,1,11,111,11,01,1101,11,11
1668;lick;-;UP;Chris Potter;-;-;-;-;-;-;16;12;2,1,2,1,2,2,1,2,4,2,2,2;01,1,11,1,01,01,1,01,1011,01,11,01
1669;line;-;UP;Miles Davis;-;-;-;-;-;-;18;11;3,2,4,1,3,2,4,2,2,2,2;011,01,1011,1,011,11,0001,11,01,11,01
1670;lick;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;15;5;4,5,4,2,2;0111,11111,1011,11,11
1671;lick;-;MEDIUM UP;Lee Morgan;-;-;-;-;-;-;19;10;2,1,6,2,1,6,2,2,2,4;11,1,111100,11,1,011001,01,11,01,0011
1672;lick;-;UP;Steve Coleman;-;-;-;-;-;-;5;3;2,2,2;11,01,11
1673;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;8;5;1,4,1,1,4;1,0111,1,1,0011
1674;lick;-;UP;David Liebman;-;-;-;-;-;-;26;17;4,2,2,2,2,2,2,2,1,1,1,2,2,1,2,4,4;0001,11,11,11,11,01,11,11,1,1,1,01,11,1,01,1001,1001
1675;lick;-;MEDIUM SLOW;Steve Coleman;-;-;-;-;-;-;10;3;5,4,4;10111,1110,1110
1676;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;3;1,3,2;1,111,01
1677;lick;-;UP;Michael Brecker;-;-;-;-;-;-;1;1;1;1
1678;line;-;UP;Miles Davis;-;-;-;-;-;-;29;15;4,2,4,2,1,1,2,2,2,2,3,2,2,2,2;1011,11,1101,11,1,1,11,11,11,11,011,01,11,11,11
1679;lick;-;MEDIUM UP;Dizzy Gillespie;-;-;-;-;-;-;4;3;2,1,1;11,1,1
1680;line;-;UP;John Coltrane;-;-;-;-;-;-;33;17;2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,3;11,011,111,11,11,11,11,11,01,11,1,11,11,11,11,11,011
1681;line;-;UP;David Liebman;-;-;-;-;-;-;13;7;4,2,4,4,4,2,2;1111,11,0011,1100,0001,01,01
1682;lick;-;MEDIUM;Woody Shaw;-;-;-;-;-;-;18;10;4,2,2,4,8,2,4,3,1,4;0001,01,01,0111,00001111,11,1001,110,1,0001
1683;line;-;MEDIUM;Cannonball Adderley;-;-;-;-;-;-;4;3;1,1,2;1,1,11
1684;lick;-;MEDIUM UP;Fats Navarro;-;-;-;-;-;-;6;3;2,4,1;11,0111,1
1685;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;21;14;6,2,2,2,2,1,4,2,1,1,3,5,3,4;000101,01,11,01,11,1,1100,01,1,1,011,01001,110,0001
1686;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;4;3;2,1,2;11,1,01
1687;lick;-;UP;Woody Shaw;-;-;-;-;-;-;3;2;3,4;011,0001
1688;lick;-;UP;Bob Berg;-;-;-;-;-;-;4;2;3,1;111,1
1689;line;-;UP;David Liebman;-;-;-;-;-;-;14;6;2,3,4,4,4,4;01,111,0011,0111,1001,0111
1690;lick;-;UP;Chet Baker;-;-;-;-;-;-;5;4;4,2,1,2;1001,01,1,01
1691;line;-;MEDIUM UP;Paul Desmond;-;-;-;-;-;-;24;13;2,2,2,1,2,2,2,2,2,2,2,2,1;11,11,11,1,11,11,11,11,11,11,11,11,1
1692;lick;-;UP;Pepper Adams;-;-;-;-;-;-;10;6;1,3,2,2,2,2;1,110,01,11,11,11
1693;lick;-;MEDIUM;Steve Lacy;-;-;-;-;-;-;6;5;2,2,4,1,1;11,01,0001,1,1
1694;line;-;MEDIUM;John Coltrane;-;-;-;-;-;-;63;15;6,6,3,5,5,6,5,6,4,8,6,1,6,6,6;110111,101111,111,10111,00111,011111,10111,101101,0111,11010101,011011,1,111111,101111,111111
1695;lick;-;UP;John Coltrane;-;-;-;-;-;-;8;5;4,2,2,1,2;0111,01,11,1,01
1696;lick;-;MEDIUM UP;Joe Henderson;-;-;-;-;-;-;5;3;2,2,4;01,01,1011
1697;line;-;MEDIUM UP;Wynton Marsalis;-;-;-;-;-;-;99;50;4,6,3,3,3,3,3,3,2,2,2,4,2,1,2,2,2,2,4,3,3,2,1,4,4,2,2,4,4,2,3,4,4,4,4,3,4,2,4,4,2,2,2,1,2,4,3,3,6,2;0111,100001,011,011,111,011,011,111,11,01,01,1011,11,1,01,01,11,11,1011,111,111,11,1,0011,0110,11,01,0001,1111,01,111,0110,0001,1100,0011,111,1100,11,0110,0110,01,11,01,1,11,0110,111,011,010001,11
1698;lick;-;MEDIUM;Sonny Rollins;-;-;-;-;-;-;8;3;6,4,2;101011,0111,01
1699;lick;-;MEDIUM UP;Milt Jackson;-;-;-;-;-;-;5;3;2,4,2;01,0110,11
1700;lick;-;MEDIUM;Paul Desmond;-;-;-;-;-;-;26;11;4,3,4,3,4,6,4,1,1,4,2;0001,111,1101,111,0111,111010,0111,1,1,0011,11
1701;lick;-;UP;Miles Davis;-;-;-;-;-;-;15;8;2,4,2,3,4,2,1,3;11,1100,01,111,0001,11,1,111
1702;lick;-;UP;Joshua Redman;-;-;-;-;-;-;2;2;4,1;0001,1
1703;lick;-;MEDIUM UP;Fats Navarro;-;-;-;-;-;-;16;6;3,4,4,2,4,2;111,1111,1101,11,1101,01
1704;line;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;74;23;4,4,4,6,8,2,2,4,8,4,3,3,4,7,4,6,6,6,4,8,3,8,1;0011,0001,1111,110101,01001001,11,01,1111,01000111,1111,111,011,1111,1101011,1111,101101,101011,011011,1111,01100101,111,01001001,1
1705;lick;-;UP;David Liebman;-;-;-;-;-;-;14;10;4,2,2,4,1,2,4,1,4,2;0001,01,01,1001,1,11,1011,1,0001,01
1706;lick;-;MEDIUM UP;Fats Navarro;-;-;-;-;-;-;11;6;1,4,2,2,2,2;1,1110,11,11,01,11
1707;lick;-;UP;Branford Marsalis;-;-;-;-;-;-;17;10;4,2,1,2,2,4,1,4,1,1;0001,11,1,11,11,1011,1,1011,1,1
1708;lick;-;UP;John Coltrane;-;-;-;-;-;-;5;3;3,2,1;110,11,1
1709;line;-;UP;Bob Berg;-;-;-;-;-;-;26;16;2,1,2,2,2,4,2,2,2,1,1,2,2,1,1,1;11,1,11,01,11,1011,11,11,11,1,1,11,11,1,1,1
1710;lick;-;MEDIUM;Dexter Gordon;-;-;-;-;-;-;5;3;2,2,2;11,11,01
1711;lick;-;MEDIUM UP;Hank Mobley;-;-;-;-;-;-;6;4;4,2,2,1;0110,11,01,1
1712;lick;-;MEDIUM UP;Don Ellis;-;-;-;-;-;-;8;5;4,2,2,2,2;0001,01,11,11,11
1713;lick;-;UP;Miles Davis;-;-;-;-;-;-;11;7;2,2,2,1,2,4,2;11,01,11,1,11,1001,01
1714;lick;-;UP;Joe Henderson;-;-;-;-;-;-;15;9;2,2,4,4,3,1,2,2,2;11,11,0001,0001,011,1,11,11,11
1715;line;-;UP;Charlie Parker;-;-;-;-;-;-;26;14;2,2,2,4,2,2,2,4,2,2,2,1,2,2;11,11,11,1101,11,01,11,0001,11,11,11,1,11,11
1716;lick;-;UP;Miles Davis;-;-;-;-;-;-;14;10;2,1,1,1,1,2,2,2,4,2;11,1,1,1,1,01,01,11,1001,11
1717;lick;-;MEDIUM UP;Wayne Shorter;-;-;-;-;-;-;7;3;2,2,6;11,11,010101
1718;lick;-;MEDIUM UP;Charlie Parker;-;-;-;-;-;-;26;13;4,2,2,6,2,2,4,2,2,2,2,2,2;0111,11,11,000011,11,11,1101,01,11,01,11,11,11
1719;line;-;MEDIUM;John Coltrane;-;-;-;-;-;-;30;6;8,3,4,4,7,8;11011111,111,1111,1111,1111111,00011111
